0,0,0,0,0,0,0,0,0,6244,0,0,0,0,5478,
0,0,0,0,0,0,0,6051,5921,6308,0,0,0,0,5542,
0,0,0,0,0,0,0,6115,6113,6372,6113,0,6113,0,5606,
0,5860,5861,5861,5861,5861,6182,5861,5861,5861,5861,5861,5861,5862,5670,
0,5924,5925,0,0,0,0,0,0,0,0,0,0,0,5734,
0,5924,0,0,0,0,0,0,0,0,0,0,6694,0,5734,
0,5924,6691,6625,0,0,0,0,0,0,0,0,0,0,5734,
0,5924,0,6689,0,0,0,0,0,5889,0,0,0,0,5734,
0,5924,0,0,6694,0,0,0,0,4963,4964,5890,0,0,5734,
0,5924,0,0,0,0,0,0,5889,0,0,0,0,0,5734,
0,5924,0,0,0,0,0,0,0,0,0,0,0,0,5734,
5793,5795,5795,5795,5795,5795,5795,5795,5796,5795,5795,5795,5796,5797,5798,
