283,362,362,362,362,362,362,362,362,362,362,362,362,363,363,286,0,
323,401,401,401,401,401,401,401,401,401,401,401,401,402,402,325,0,
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,
284,362,362,362,362,362,362,362,286,0,0,0,0,0,0,364,0,
323,401,401,401,401,401,401,401,325,0,0,0,0,0,0,364,0,
361,0,0,0,0,0,0,0,403,362,0,0,0,0,363,286,0,
361,0,0,0,0,0,0,0,442,401,0,0,0,0,402,324,0,
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,
1546,438,0,0,0,0,443,1630,1630,1630,1630,1630,1630,1630,1630,1545,0,
0,361,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,
0,361,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,
0,361,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,
0,1630,1549,0,1550,1630,1630,0,0,0,0,0,0,0,0,0,0,
0,0,1629,1630,1631,0,0,0,0,0,0,0,0,0,0,0
