0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1554,1555,1555,1554,1555,1555,1555,1554,1555,1555,1516,1515,1516,1515,0,0,
0,1555,1555,1554,1555,1555,1555,1554,1555,1554,1555,1555,1554,1555,1554,0,0,
0,1555,1554,1555,1554,1555,1555,1555,1555,1555,1554,1555,1555,1554,1555,0,0,
0,1515,1515,1515,1515,1515,1515,1515,1515,1516,1555,1515,1516,1555,1515,0,0,
0,1554,1555,1555,1554,1555,1555,1555,1515,1516,1516,1554,1555,1555,1515,0,0,
0,1555,1554,1555,1555,1555,1515,1516,1515,1515,1555,1555,1554,1555,1515,0,0,
0,1554,1555,1515,1516,1516,1554,1555,1554,1555,1515,1516,1555,1516,1515,0,0,
0,1516,1555,1554,1555,1555,1555,1554,1555,1516,1554,1555,1555,1555,1554,0,0,
0,1558,1515,1516,1517,1518,1515,1516,1555,1555,1555,1555,1554,1555,1555,0,0,
0,1671,1515,1516,1515,1516,1672,0,0,0,0,0,0,0,0,0,0,
0,0,1710,1711,1711,1711,0,0,0,0,0,0,0,0,0,0,0,
0,0,1011,1012,1012,1012,0,0,0,0,0,0,0,0,0,0,0,
0,0,1011,1012,1012,1012,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,
