104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,
104,104,104,104,104,104,104,104,104,104,104,104,0,0,0,0,0,0,0,104,104,104,104,104,104,104,104,104,104,104,104,104,
104,104,104,104,0,0,0,0,0,0,0,99,99,4,4,4,4,3,0,104,104,104,104,104,104,104,104,104,104,104,104,104,
104,104,104,104,0,3,3,3,3,3,3,3,3,3,3,3,4,3,0,0,104,104,104,104,104,104,104,104,104,104,104,104,
104,104,104,104,0,3,3,3,3,3,3,3,3,3,3,3,4,3,3,0,104,104,104,104,104,104,104,104,104,104,104,104,
104,104,104,0,0,3,3,3,3,3,3,3,3,3,3,3,4,3,3,0,104,104,104,104,104,104,104,104,104,104,104,104,
104,104,104,0,3,3,3,43,64,64,64,65,41,3,3,3,4,3,3,0,0,104,104,104,104,104,104,104,104,104,104,104,
104,104,104,0,3,3,3,62,25,27,27,26,22,3,3,3,3,3,3,3,0,104,104,104,104,104,104,104,104,104,104,104,
104,0,0,0,4,3,3,173,174,175,175,153,153,3,3,3,3,3,3,3,0,0,104,104,104,104,104,104,104,104,104,104,
104,0,4,4,4,3,3,192,193,3,3,3,3,3,3,3,3,3,3,3,4,0,104,104,104,104,104,104,104,104,104,104,
104,0,3,3,3,3,42,62,63,65,65,64,65,64,41,3,3,3,3,3,4,0,104,104,104,104,104,104,104,104,104,104,
104,0,3,3,3,3,42,24,27,26,26,27,26,28,60,3,3,3,3,3,4,0,0,0,0,104,104,104,104,104,104,104,
104,0,3,3,3,3,42,3,3,3,3,3,3,47,44,4,4,4,4,4,4,4,3,3,0,0,0,0,0,104,104,104,
104,0,0,3,3,3,3,3,3,3,3,3,3,62,44,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,104,104,
104,104,0,3,3,3,3,3,3,3,3,3,3,47,44,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,104,104,
104,104,0,3,3,3,3,3,3,43,41,3,3,47,44,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,104,104,
104,104,0,0,3,3,3,3,3,47,63,64,64,66,44,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,104,104,
104,104,104,0,3,3,3,3,3,24,26,27,27,28,44,3,3,3,3,3,3,3,3,3,3,3,3,4,3,0,104,104,
104,104,104,0,0,3,3,3,3,3,3,3,3,47,44,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,104,104,
104,104,104,104,0,3,3,3,3,3,3,3,3,47,63,64,65,64,65,65,64,65,41,4,4,4,4,4,4,0,104,104,
104,104,104,104,0,3,3,4,4,3,3,3,5,47,25,26,26,26,27,26,26,27,22,4,4,3,4,4,4,0,104,104,
104,104,104,104,0,3,3,3,4,4,3,3,5,62,44,5,5,5,5,3,3,3,4,4,4,4,4,4,4,0,104,104,
104,104,104,104,0,3,3,3,4,4,4,3,3,62,44,5,5,5,5,5,5,5,4,4,5,4,4,4,0,0,104,104,
104,104,104,104,0,0,0,3,3,3,4,4,4,47,63,64,65,65,64,65,64,41,156,4,4,4,4,3,0,104,104,104,
104,104,104,104,104,104,0,0,3,3,4,36,36,15,16,16,16,16,17,54,55,18,4,4,4,4,3,3,0,104,104,104,
104,104,104,104,104,104,104,0,4,3,3,73,74,74,74,74,74,74,74,74,74,74,74,74,74,75,3,3,0,104,104,104,
104,104,104,104,104,104,104,0,3,3,3,0,93,93,93,93,93,93,93,93,93,93,93,93,93,0,3,3,0,104,104,104,
104,104,104,104,104,104,104,0,4,3,3,0,112,112,112,112,112,112,112,112,112,112,112,112,112,0,3,0,0,104,104,104,
104,104,104,104,104,104,104,0,0,3,3,0,112,112,112,112,112,112,112,112,112,112,112,112,112,0,3,0,104,104,104,104,
104,104,104,104,104,104,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,104,104,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,
